seed,scenario_index,attack,intensity,condition,min_true_c,max_true_c,min_margin_to_sla_c,target_return_min,effective_attack_end_exclusive
101,8,freeze,high,fpr_crp,29.06112769549496,30.796518204123625,1.2034817958763746,8.0,144.0
101,8,freeze,high,mean,28.7911924478404,30.52734900851059,1.4726509914894095,17.0,144.0
101,8,freeze,high,oracle,28.871116231163445,30.703783416285656,1.2962165837143438,0.0,144.0
101,9,spike,low,fpr_crp,29.07236368194118,30.548061608981648,1.451938391018352,12.0,144.0
101,9,spike,low,mean,27.899113834771168,30.548061608981648,1.451938391018352,0.0,144.0
101,9,spike,low,oracle,28.788232956166848,30.548061608981648,1.451938391018352,0.0,144.0
101,10,spike,high,fpr_crp,28.27554522483242,30.4964082676207,1.5035917323792987,0.0,144.0
101,10,spike,high,mean,26.813525730522123,30.472903910027863,1.5270960899721366,9.0,144.0
101,10,spike,high,oracle,28.813440988224635,30.4964082676207,1.5035917323792987,0.0,144.0
101,11,scaling,low,fpr_crp,28.73391212377905,30.43195640229723,1.5680435977027685,13.0,144.0
101,11,scaling,low,mean,28.103223044643105,30.500379940635053,1.499620059364947,0.0,144.0
101,11,scaling,low,oracle,28.805685925444774,30.500379940635053,1.499620059364947,0.0,144.0
101,12,scaling,high,fpr_crp,28.715702265587765,30.561153440303368,1.438846559696632,0.0,144.0
101,12,scaling,high,mean,27.947248083838502,30.561153440303368,1.438846559696632,8.0,144.0
101,12,scaling,high,oracle,28.8622070280954,30.561153440303368,1.438846559696632,0.0,144.0
101,13,stuck,low,fpr_crp,29.112296902625317,30.467867616565528,1.5321323834344724,8.0,144.0
101,13,stuck,low,mean,28.1989225010951,31.475519369927223,0.5244806300727767,28.0,144.0
101,13,stuck,low,oracle,29.13430181790285,30.534639954459763,1.465360045540237,0.0,144.0
101,14,stuck,high,fpr_crp,28.595688244737826,30.411937404074504,1.5880625959254964,0.0,144.0
101,14,stuck,high,mean,26.820219208162637,30.729789226611476,1.2702107733885235,10.0,144.0
101,14,stuck,high,oracle,28.95375682013332,30.483003555455596,1.5169964445444037,0.0,144.0
11,0,nominal,none,fpr_crp,28.65111716780253,30.56011970603484,1.4398802939651603,0.0,
11,0,nominal,none,mean,28.68052661126135,30.36888198935087,1.6311180106491285,0.0,
11,0,nominal,none,oracle,28.71269637737325,30.56011970603484,1.4398802939651603,0.0,
11,1,bias,low,fpr_crp,27.707970656829357,30.56115080106276,1.4388491989372412,1.0,144.0
11,1,bias,low,mean,28.49989955535593,30.524909165567298,1.4750908344327023,0.0,144.0
11,1,bias,low,oracle,28.749396183235596,30.524909165567298,1.4750908344327023,0.0,144.0
11,2,bias,high,fpr_crp,28.32704181715578,30.42784118915718,1.5721588108428186,0.0,144.0
11,2,bias,high,mean,27.90655849642368,30.42784118915718,1.5721588108428186,7.0,144.0
11,2,bias,high,oracle,28.39066554486436,30.58144118915718,1.4185588108428213,0.0,144.0
11,3,drift,low,fpr_crp,28.758540882733374,30.80713038826409,1.1928696117359117,0.0,144.0
11,3,drift,low,mean,28.505299515385538,30.630472251822454,1.3695277481775463,6.0,144.0
11,3,drift,low,oracle,28.739137194312672,30.51263915813772,1.4873608418622801,9.0,144.0
11,4,drift,high,fpr_crp,28.91420521512344,30.62645932124215,1.3735406787578484,12.0,144.0
