scenario,suite,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,mean_rounds,converged_rate,mean_consensus_degree,mean_excluded_per_tick
full_seed11_bias_0p3_noise0p1_s13_a0p2_b0p7,full,11,bias,0.3,0.1,13,0.2,0.7,1.8041666666666667,0.020833333333333332,0.4844988547462818,1.8208333333333333
full_seed11_bias_0p3_noise0p1_s5_a0p2_b0p7,full,11,bias,0.3,0.1,5,0.2,0.7,1.3666666666666667,0.7,0.6672793293121626,0.4666666666666667
full_seed11_bias_0p3_noise0p1_s9_a0p2_b0p7,full,11,bias,0.3,0.1,9,0.2,0.7,1.7916666666666667,0.32916666666666666,0.6400462513559918,1.4458333333333333
full_seed11_bias_0p3_noise0p25_s13_a0p2_b0p7,full,11,bias,0.3,0.25,13,0.2,0.7,2.091666666666667,0.025,0.48627375825345803,2.816666666666667
full_seed11_bias_0p3_noise0p25_s5_a0p2_b0p7,full,11,bias,0.3,0.25,5,0.2,0.7,1.4333333333333333,0.5875,0.6348299407646792,0.5875
full_seed11_bias_0p3_noise0p25_s9_a0p2_b0p7,full,11,bias,0.3,0.25,9,0.2,0.7,1.9041666666666666,0.45,0.651884503999286,1.8125
full_seed11_bias_0p3_noise0p5_s13_a0p2_b0p7,full,11,bias,0.3,0.5,13,0.2,0.7,2.245833333333333,0.08333333333333333,0.4932874629959654,4.766666666666667
full_seed11_bias_0p3_noise0p5_s5_a0p2_b0p7,full,11,bias,0.3,0.5,5,0.2,0.7,1.5208333333333333,0.45,0.5750247721884535,0.7041666666666667
full_seed11_bias_0p3_noise0p5_s9_a0p2_b0p7,full,11,bias,0.3,0.5,9,0.2,0.7,2.0625,0.45416666666666666,0.6448456209183947,2.7375
full_seed11_bias_0p4_noise0p1_s13_a0p2_b0p7,full,11,bias,0.4,0.1,13,0.2,0.7,1.7916666666666667,0.025,0.47887339286024583,1.8375
full_seed11_bias_0p4_noise0p1_s5_a0p2_b0p7,full,11,bias,0.4,0.1,5,0.2,0.7,1.3666666666666667,0.7,0.6672793293121626,0.4666666666666667
full_seed11_bias_0p4_noise0p1_s9_a0p2_b0p7,full,11,bias,0.4,0.1,9,0.2,0.7,1.7416666666666667,0.2625,0.5855938273138939,1.5208333333333333
full_seed11_bias_0p4_noise0p1_s9_a0p3_b0p8,full,11,bias,0.4,0.1,9,0.3,0.8,1.7416666666666667,0.2625,0.5855938273138939,1.5208333333333333
full_seed11_bias_0p4_noise0p25_s13_a0p2_b0p7,full,11,bias,0.4,0.25,13,0.2,0.7,2.075,0.020833333333333332,0.47186478772973467,2.816666666666667
full_seed11_bias_0p4_noise0p25_s5_a0p2_b0p7,full,11,bias,0.4,0.25,5,0.2,0.7,1.4333333333333333,0.5875,0.6348299407646792,0.5875
full_seed11_bias_0p4_noise0p25_s9_a0p2_b0p7,full,11,bias,0.4,0.25,9,0.2,0.7,1.8416666666666666,0.3375,0.5866343733340247,1.8791666666666667
full_seed11_bias_0p4_noise0p25_s9_a0p3_b0p8,full,11,bias,0.4,0.25,9,0.3,0.8,1.8416666666666666,0.3375,0.5866343733340247,1.8791666666666667
full_seed11_bias_0p4_noise0p5_s13_a0p2_b0p7,full,11,bias,0.4,0.5,13,0.2,0.7,2.2083333333333335,0.0875,0.4806446662837536,4.675
full_seed11_bias_0p4_noise0p5_s5_a0p2_b0p7,full,11,bias,0.4,0.5,5,0.2,0.7,1.5208333333333333,0.45,0.5750247721884535,0.7041666666666667
full_seed11_bias_0p4_noise0p5_s9_a0p2_b0p7,full,11,bias,0.4,0.5,9,0.2,0.7,2.0416666666666665,0.4125,0.6086558143029895,2.783333333333333
full_seed11_bias_0p4_noise0p5_s9_a0p3_b0p8,full,11,bias,0.4,0.5,9,0.3,0.8,2.0416666666666665,0.4125,0.6086558143029895,2.783333333333333
full_seed11_drift_0p4_noise0p1_s9_a0p2_b0p7,full,11,drift,0.4,0.1,9,0.2,0.7,1.5625,0.3,0.6306770210399623,0.8125
full_seed11_drift_0p4_noise0p25_s9_a0p2_b0p7,full,11,drift,0.4,0.25,9,0.2,0.7,1.7625,0.39166666666666666,0.6422578412131266,1.2541666666666667
full_seed11_drift_0p4_noise0p5_s9_a0p2_b0p7,full,11,drift,0.4,0.5,9,0.2,0.7,2.004166666666667,0.42083333333333334,0.6495261753119593,2.2875
full_seed42_bias_0p0_noise0p1_s13_a0p2_b0p7,full,42,bias,0.0,0.1,13,0.2,0.7,1.2041666666666666,0.0,0.5035734388887586,0.26666666666666666
full_seed42_bias_0p0_noise0p1_s5_a0p2_b0p7,full,42,bias,0.0,0.1,5,0.2,0.7,1.0416666666666667,0.9333333333333333,0.7791833411723634,0.05
full_seed42_bias_0p0_noise0p1_s9_a0p2_b0p7,full,42,bias,0.0,0.1,9,0.2,0.7,1.3291666666666666,0.4166666666666667,0.7024600581518682,0.39166666666666666
full_seed42_bias_0p0_noise0p25_s13_a0p2_b0p7,full,42,bias,0.0,0.25,13,0.2,0.7,1.7,0.008333333333333333,0.515114722802226,1.1625
full_seed42_bias_0p0_noise0p25_s5_a0p2_b0p7,full,42,bias,0.0,0.25,5,0.2,0.7,1.0958333333333334,0.7708333333333334,0.7561931037192743,0.1125
full_seed42_bias_0p0_noise0p25_s9_a0p2_b0p7,full,42,bias,0.0,0.25,9,0.2,0.7,1.5541666666666667,0.5083333333333333,0.707288596674865,0.7208333333333333
full_seed42_bias_0p0_noise0p5_s13_a0p2_b0p7,full,42,bias,0.0,0.5,13,0.2,0.7,2.158333333333333,0.10416666666666667,0.568073865126109,3.4458333333333333
