family,case,metric,before,after,delta,display_3dp_changed
main_campaign,full_seed11_mixed_0p3_noise0p1_s5_a0p3_b0p8,max_absolute_error,3.941632565839912,4.023243034346205,0.08161046850629283,True
main_campaign,full_seed11_mixed_0p3_noise0p25_s5_a0p2_b0p7,mae,2.0169245186948968,2.0167463420743723,-0.0001781766205244395,False
main_campaign,full_seed11_mixed_0p3_noise0p25_s5_a0p2_b0p7,rmse,2.2169229964295414,2.2167947431923034,-0.0001282532372379741,False
main_campaign,full_seed11_mixed_0p3_noise0p25_s5_a0p3_b0p8,mae,1.8603201085884677,1.8604091968987297,8.90883102619977e-05,False
main_campaign,full_seed11_mixed_0p3_noise0p25_s5_a0p3_b0p8,rmse,1.9832310150462789,1.9832342448983433,3.2298520644680195e-06,False
main_campaign,full_seed11_mixed_0p4_noise0p1_s5_a0p2_b0p7,mae,2.009641315672927,2.0103214029104794,0.000680087237552307,False
main_campaign,full_seed11_mixed_0p4_noise0p1_s5_a0p2_b0p7,rmse,2.210138514406336,2.2118036625681397,0.0016651481618037423,True
main_campaign,full_seed11_mixed_0p4_noise0p1_s5_a0p2_b0p7,max_absolute_error,5.331804517850538,5.495025454863124,0.16322093701258567,True
main_campaign,full_seed11_mixed_0p4_noise0p1_s5_a0p3_b0p8,mae,1.8460203888573794,1.8463604324761558,0.00034004361877637557,False
main_campaign,full_seed11_mixed_0p4_noise0p1_s5_a0p3_b0p8,rmse,1.9747468686273097,1.975432509673655,0.0006856410463451645,False
main_campaign,full_seed11_mixed_0p4_noise0p1_s5_a0p3_b0p8,max_absolute_error,3.941632565839912,4.023243034346205,0.08161046850629283,True
main_campaign,full_seed11_mixed_0p4_noise0p25_s5_a0p2_b0p7,mae,2.0169245186948968,2.0167463420743723,-0.0001781766205244395,False
main_campaign,full_seed11_mixed_0p4_noise0p25_s5_a0p2_b0p7,rmse,2.2169229964295414,2.2167947431923034,-0.0001282532372379741,False
main_campaign,full_seed11_mixed_0p4_noise0p25_s5_a0p3_b0p8,mae,1.8603201085884677,1.8604091968987297,8.90883102619977e-05,False
main_campaign,full_seed11_mixed_0p4_noise0p25_s5_a0p3_b0p8,rmse,1.9832310150462789,1.9832342448983433,3.2298520644680195e-06,False
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p2_b0p7,mae,2.1738075638333667,2.192272567755865,0.01846500392249828,True
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p2_b0p7,rmse,2.5820048993031546,2.6070813157623665,0.02507641645921188,True
main_campaign,full_seed11_spike_0p3_noise0p1_s5_a0p2_b0p7,median_absolute_error,1.5924646971082939,1.6068304742920076,0.01436577718371379,True
