scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,method,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,beta
full_seed101_bias_0p2_noise0p5_s13_a0p2_b0p7,101,bias,0.2,0.5,13,0.2,crp,1.1264789541100872,1.2213646954693556,1.078195901881602,1.967809560141824,3.179475048689443,0.7
full_seed101_bias_0p2_noise0p5_s13_a0p3_b0p8,101,bias,0.2,0.5,13,0.3,fpr_owa,1.1324984301331535,1.244175371475511,1.033924722124861,2.1256516406144925,3.033902587784595,0.8
full_seed101_bias_0p2_noise0p5_s13_a0p3_b0p8,101,bias,0.2,0.5,13,0.3,crp,1.1980835874173044,1.314295031218875,1.0903211147418124,2.178583281858926,3.4791862276886643,0.8
full_seed101_bias_0p2_noise0p5_s5_a0p2_b0p7,101,bias,0.2,0.5,5,0.2,fpr_owa,1.67296640555292,1.7598802145444017,1.5775002723468172,2.558268149259076,3.020868080479137,0.7
full_seed101_bias_0p2_noise0p5_s5_a0p2_b0p7,101,bias,0.2,0.5,5,0.2,crp,1.6931280559316857,1.7896836202948572,1.63651735596516,2.6737335353919844,3.020868080479137,0.7
full_seed101_bias_0p2_noise0p5_s5_a0p3_b0p8,101,bias,0.2,0.5,5,0.3,fpr_owa,1.712722644043706,1.8042581463980296,1.651041500278442,2.6756641174090787,3.089570498033422,0.8
full_seed101_bias_0p2_noise0p5_s5_a0p3_b0p8,101,bias,0.2,0.5,5,0.3,crp,1.716044078923848,1.817983980386101,1.6622739545459049,2.743701160252898,3.089570498033422,0.8
full_seed101_bias_0p2_noise0p5_s9_a0p2_b0p7,101,bias,0.2,0.5,9,0.2,fpr_owa,1.643418115654815,1.732407798037465,1.5408889685436915,2.625378007415964,3.585793215755493,0.7
full_seed101_bias_0p2_noise0p5_s9_a0p2_b0p7,101,bias,0.2,0.5,9,0.2,crp,1.6630428330697165,1.748135825689961,1.5860432372499806,2.575779777572305,3.069047321510977,0.7
full_seed101_bias_0p2_noise0p5_s9_a0p3_b0p8,101,bias,0.2,0.5,9,0.3,fpr_owa,1.6566365984650242,1.7360025869996492,1.5631541072171211,2.584237882047676,2.964108270147804,0.8
full_seed101_bias_0p2_noise0p5_s9_a0p3_b0p8,101,bias,0.2,0.5,9,0.3,crp,1.6801439167792094,1.7657800053566692,1.571148724148809,2.630330168124529,2.91835169895083,0.8
full_seed101_bias_0p3_noise0p1_s13_a0p2_b0p7,101,bias,0.3,0.1,13,0.2,fpr_owa,1.195270206395294,1.2273574111018626,1.1999700094968535,1.603376899036027,1.7056900502596406,0.7
full_seed101_bias_0p3_noise0p1_s13_a0p2_b0p7,101,bias,0.3,0.1,13,0.2,crp,1.1791158798801338,1.2135166193293074,1.1858250601806994,1.603376899036027,1.7056900502596406,0.7
full_seed101_bias_0p3_noise0p1_s13_a0p3_b0p8,101,bias,0.3,0.1,13,0.3,fpr_owa,1.0472724382639464,1.1939398766951272,0.8911459995950823,2.033270501072068,2.142828786129591,0.8
full_seed101_bias_0p3_noise0p1_s13_a0p3_b0p8,101,bias,0.3,0.1,13,0.3,crp,1.0401544431768024,1.1870182624962973,0.8806928942413179,2.033270501072068,2.142828786129591,0.8
full_seed101_bias_0p3_noise0p1_s5_a0p2_b0p7,101,bias,0.3,0.1,5,0.2,fpr_owa,2.30536101452348,2.4712255721894447,2.3481020394723235,3.857129154402629,4.021662643008527,0.7
full_seed101_bias_0p3_noise0p1_s5_a0p2_b0p7,101,bias,0.3,0.1,5,0.2,crp,2.268901820303973,2.43327738584068,2.286443689896995,3.857129154402629,4.021662643008527,0.7
full_seed101_bias_0p3_noise0p1_s5_a0p3_b0p8,101,bias,0.3,0.1,5,0.3,fpr_owa,1.9995824487508471,2.0956040140571544,1.977457959384276,3.102679330001708,3.2707927675086617,0.8
full_seed101_bias_0p3_noise0p1_s5_a0p3_b0p8,101,bias,0.3,0.1,5,0.3,crp,1.9861295859775927,2.081853672198526,1.9698549256906968,3.102679330001708,3.2707927675086617,0.8
full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,101,bias,0.3,0.1,9,0.2,fpr_owa,1.9339695944024529,1.9961326502195809,1.936366117463456,2.728483033155865,2.8856628646521503,0.7
full_seed101_bias_0p3_noise0p1_s9_a0p2_b0p7,101,bias,0.3,0.1,9,0.2,crp,1.9225515560827893,1.9835792755751476,1.9353744229293497,2.728483033155865,2.8856628646521503,0.7
full_seed101_bias_0p3_noise0p1_s9_a0p3_b0p8,101,bias,0.3,0.1,9,0.3,fpr_owa,1.629053715424894,1.6904873805080467,1.5177154006771214,2.4709163614723675,2.539427961443164,0.8
full_seed101_bias_0p3_noise0p1_s9_a0p3_b0p8,101,bias,0.3,0.1,9,0.3,crp,1.6367799115991457,1.6992479572551722,1.5177154006771214,2.4709163614723675,2.539427961443164,0.8
full_seed101_bias_0p3_noise0p25_s13_a0p2_b0p7,101,bias,0.3,0.25,13,0.2,fpr_owa,1.2117147620169,1.2538455678435625,1.208536474943161,1.7632989542236357,2.2648107955012766,0.7
full_seed101_bias_0p3_noise0p25_s13_a0p2_b0p7,101,bias,0.3,0.25,13,0.2,crp,1.161601141163524,1.2144541995202005,1.166738910198456,1.7632989542236357,2.2648107955012766,0.7
full_seed101_bias_0p3_noise0p25_s13_a0p3_b0p8,101,bias,0.3,0.25,13,0.3,fpr_owa,1.0329927198736648,1.190633665510172,0.9135930699157148,2.148530051422654,2.348715633380049,0.8
full_seed101_bias_0p3_noise0p25_s13_a0p3_b0p8,101,bias,0.3,0.25,13,0.3,crp,1.033443741499306,1.1892703181958109,0.9159805875870308,2.136763797702655,2.348715633380049,0.8
full_seed101_bias_0p3_noise0p25_s5_a0p2_b0p7,101,bias,0.3,0.25,5,0.2,fpr_owa,2.26426460786899,2.4320440648265857,2.2895568640239308,3.755877172272047,4.089892749263723,0.7
full_seed101_bias_0p3_noise0p25_s5_a0p2_b0p7,101,bias,0.3,0.25,5,0.2,crp,2.204235142239557,2.372142716536416,2.129872392888414,3.755877172272047,4.089892749263723,0.7
full_seed101_bias_0p3_noise0p25_s5_a0p3_b0p8,101,bias,0.3,0.25,5,0.3,fpr_owa,1.962661068921756,2.0603340049340253,1.9474957875925047,3.0150265003683017,3.356559521571116,0.8
full_seed101_bias_0p3_noise0p25_s5_a0p3_b0p8,101,bias,0.3,0.25,5,0.3,crp,1.9347442539255264,2.0336398276581997,1.9121085690028197,3.0150265003683017,3.356559521571116,0.8
full_seed101_bias_0p3_noise0p25_s9_a0p2_b0p7,101,bias,0.3,0.25,9,0.2,fpr_owa,1.9182759041184776,1.995743781287376,1.935348055667319,2.764961302244434,3.8957933064215537,0.7
full_seed101_bias_0p3_noise0p25_s9_a0p2_b0p7,101,bias,0.3,0.25,9,0.2,crp,1.906612630269557,1.991290672355576,1.9066797433518297,2.776748820669006,3.8957933064215537,0.7
full_seed101_bias_0p3_noise0p25_s9_a0p3_b0p8,101,bias,0.3,0.25,9,0.3,fpr_owa,1.6416137120148198,1.715789588541181,1.534226511205273,2.4640197873819445,3.62678250755328,0.8
full_seed101_bias_0p3_noise0p25_s9_a0p3_b0p8,101,bias,0.3,0.25,9,0.3,crp,1.657856415305286,1.7336704307181143,1.5404009208959089,2.4644343528102017,3.62678250755328,0.8
