attack_type,attack_ratio,method,seed,sensor_noise_level,sensors_per_group,alpha,beta,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,mean_anomaly_flags,mean_confidence
drift,0.1,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.523679241317154,1.5870494988868586,1.4141245567498777,2.280412758394437,2.622039477257905,0.0,1.0
drift,0.1,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4801524419520196,1.5297515325308848,1.3911635463762666,2.1315798873652576,2.3415463829203005,0.0,1.0
drift,0.1,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5916705753078406,1.6646441961090848,1.4944070581210256,2.3674750270415825,2.6266139731245506,0.0,1.0
drift,0.1,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.4786958561389565,1.5279499327682198,1.3898260162348401,2.1150089525317086,2.3238900933645072,0.0,1.0
drift,0.2,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5799748812369272,1.6400386533169424,1.517516924832213,2.2970173566109517,2.550703689541081,0.0,1.0
drift,0.2,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5994206658450594,1.678336054937273,1.53419717506016,2.3876757369675947,2.8589128782997646,1.0157407407407408,0.5360888056607451
drift,0.2,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5843001946995214,1.6510027900192055,1.5259551213800533,2.3835048890738637,2.778696390312563,0.0,1.0
drift,0.2,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5684943222938998,1.6319862364110196,1.5126656527232374,2.4695111604951303,2.7235395228274637,0.0,1.0
drift,0.2,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6374997780139962,1.711656149607867,1.571438952902523,2.439938960485163,2.7551921244128286,0.0,1.0
drift,0.2,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5682410824100879,1.6307233079107795,1.510172058448459,2.4522603058541392,2.708947883291586,0.0,1.0
drift,0.3,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6688207217460327,1.7452179291661527,1.6239727350268103,2.648921214291125,2.961740838445558,0.0,1.0
drift,0.3,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6915841280366029,1.7848842189601137,1.6350224260842887,2.6485774719917123,3.385148589076333,0.9243827160493827,0.5379818749835044
drift,0.3,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6631431652560307,1.744455625961138,1.619275930506407,2.660016342801917,3.1131185231941907,0.0,1.0
drift,0.3,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6422208180203957,1.7239753779481835,1.6075401982364228,2.7916906062161617,3.066149042655931,0.0,1.0
drift,0.3,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6893387267558604,1.7661384823387711,1.6516862156521996,2.525548230697229,2.896099424325992,0.0,1.0
drift,0.3,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6439053785661253,1.7247804492162213,1.6076293504601091,2.7836872539878836,3.055990115086098,0.0,1.0
drift,0.4,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.724244139424481,1.8161493265944415,1.6823907743652684,2.9193591489738577,3.2310937481412343,0.0,1.0
drift,0.4,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.7709004799910848,1.878540361886181,1.707194316013907,2.935242067265287,3.7073414557479727,0.8398148148148148,0.5412383795649548
drift,0.4,hampel_filter_then_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.7041345354234099,1.796357848071379,1.6672915354808266,2.8410444411920044,3.2394600084108967,0.0,1.0
drift,0.4,mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6779473137468914,1.7711721939390486,1.6381153083491913,2.948995297437784,3.2376223752233186,0.0,1.0
drift,0.4,median,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.7254022341439725,1.8066849599143058,1.7078614687064075,2.6159030370283367,3.0515278029825272,0.0,1.0
drift,0.4,trimmed_mean,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.6818387503768277,1.7746806069798116,1.644666816811145,2.949234942819925,3.238277619754237,0.0,1.0
freeze,0.0,direct_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.5167091613174692,1.5749709733340298,1.4031908249644205,2.177884505999744,2.378718829485556,0.0,1.0
freeze,0.0,fpr_owa,51.333333333333336,0.2833333333333333,9.0,0.25,0.75,1.606579391609211,1.6801997503496158,1.5368600265228805,2.3405933502544753,2.572021618562354,1.0239197530864197,0.5346690363491322
