scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,beta,method,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,mean_anomaly_flags,mean_confidence
full_seed11_bias_0p0_noise0p5_s5_a0p2_b0p7,11,bias,0.0,0.5,5,0.2,0.7,median,1.7754483207398368,1.8485469223369706,1.7137105336871423,2.607850686789563,2.8498984977515147,0.0,1.0
full_seed11_bias_0p0_noise0p5_s5_a0p2_b0p7,11,bias,0.0,0.5,5,0.2,0.7,trimmed_mean,1.7451927384026562,1.809557409659631,1.6783131763803927,2.4664007486149733,2.707678358377001,0.0,1.0
full_seed11_bias_0p0_noise0p5_s5_a0p2_b0p7,11,bias,0.0,0.5,5,0.2,0.7,hampel_filter_then_mean,1.7606544521453718,1.8308875322995546,1.6962704807738056,2.593651748289748,2.978947386737961,0.0,1.0
full_seed11_bias_0p0_noise0p5_s5_a0p2_b0p7,11,bias,0.0,0.5,5,0.2,0.7,direct_owa,1.7000809722132606,1.7714054704735935,1.6415748107647348,2.5041087343008597,2.689409485292447,0.0,1.0
full_seed11_bias_0p0_noise0p5_s5_a0p2_b0p7,11,bias,0.0,0.5,5,0.2,0.7,fpr_owa,1.7926018622007016,1.8778346971656197,1.7723700273181024,2.684271847491995,3.190669428167615,0.6791666666666667,0.5449012459449352
full_seed11_bias_0p0_noise0p5_s9_a0p3_b0p8,11,bias,0.0,0.5,9,0.3,0.8,mean,1.5474047165491855,1.6012676695301218,1.5060702589497912,2.189618908347935,2.3747925008028763,0.0,1.0
full_seed11_bias_0p0_noise0p5_s9_a0p3_b0p8,11,bias,0.0,0.5,9,0.3,0.8,median,1.6537358947482705,1.7205203934325721,1.5912957873852664,2.440992866902494,2.7635344264645165,0.0,1.0
full_seed11_bias_0p0_noise0p5_s9_a0p3_b0p8,11,bias,0.0,0.5,9,0.3,0.8,trimmed_mean,1.5474047165491855,1.6012676695301218,1.5060702589497912,2.189618908347935,2.3747925008028763,0.0,1.0
full_seed11_bias_0p0_noise0p5_s9_a0p3_b0p8,11,bias,0.0,0.5,9,0.3,0.8,hampel_filter_then_mean,1.628409006009376,1.6940742228864925,1.5453067176778177,2.406984468592107,2.6640961141012656,0.0,1.0
full_seed11_bias_0p0_noise0p5_s9_a0p3_b0p8,11,bias,0.0,0.5,9,0.3,0.8,direct_owa,1.7356189588675697,1.7953426542082176,1.6691652824390815,2.4691709432249085,2.620401786424622,0.0,1.0
