scenario,seed,attack_type,attack_ratio,sensor_noise_level,sensors_per_group,alpha,method,mae,rmse,median_absolute_error,p95_absolute_error,max_absolute_error,beta
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,101,bias,0.0,0.1,9,0.2,owa_only,1.6110803257511914,1.6786020739613976,1.4395003445333772,2.3248396578404735,2.447611806385903,0.7
full_seed101_bias_0p0_noise0p1_s9_a0p2_b0p7,101,bias,0.0,0.1,9,0.2,full_fpr_owa,1.7649217452909671,1.8188107961041777,1.6358181714411566,2.402411083444426,2.5208303773184952,0.7
full_seed101_bias_0p0_noise0p1_s9_a0p3_b0p8,101,bias,0.0,0.1,9,0.3,reliability_only,1.7044426800522947,1.780172316127082,1.5421062066635098,2.4533647849903706,2.625498694458282,0.8
full_seed101_bias_0p0_noise0p1_s9_a0p3_b0p8,101,bias,0.0,0.1,9,0.3,fpr_dominance_only,1.6917099907969964,1.7617187587418996,1.559685201638772,2.3906067936676,2.514116860080208,0.8
full_seed101_bias_0p0_noise0p1_s9_a0p3_b0p8,101,bias,0.0,0.1,9,0.3,owa_only,1.7485776039975496,1.8081979867399645,1.5882191110539994,2.4194635702545577,2.561302763708166,0.8
full_seed101_bias_0p0_noise0p1_s9_a0p3_b0p8,101,bias,0.0,0.1,9,0.3,full_fpr_owa,1.748512793146674,1.822359247104944,1.6160641797705488,2.483087558392486,2.621842066792208,0.8
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,101,bias,0.0,0.25,13,0.2,reliability_only,1.3098221350646873,1.3923226416220298,1.1695823342609522,2.149496915354684,2.438716483345576,0.7
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,101,bias,0.0,0.25,13,0.2,fpr_dominance_only,1.3198480297779775,1.395151217942886,1.2082280408830792,2.0273778699331046,2.1766546933453155,0.7
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,101,bias,0.0,0.25,13,0.2,owa_only,0.9731947863782847,1.0178902649185417,0.8952132889595386,1.496380713033403,1.659947640917376,0.7
full_seed101_bias_0p0_noise0p25_s13_a0p2_b0p7,101,bias,0.0,0.25,13,0.2,full_fpr_owa,1.236562460285135,1.2956308708465365,1.2044535377120542,1.8210582388228396,1.93807001433504,0.7
full_seed101_bias_0p0_noise0p25_s13_a0p3_b0p8,101,bias,0.0,0.25,13,0.3,reliability_only,1.3098221350646873,1.3923226416220298,1.1695823342609522,2.149496915354684,2.438716483345576,0.8
full_seed101_bias_0p0_noise0p25_s13_a0p3_b0p8,101,bias,0.0,0.25,13,0.3,fpr_dominance_only,1.3198480297779775,1.395151217942886,1.2082280408830792,2.0273778699331046,2.1766546933453155,0.8
full_seed101_bias_0p0_noise0p25_s13_a0p3_b0p8,101,bias,0.0,0.25,13,0.3,owa_only,1.3253269520934736,1.378409021214341,1.2110061556693283,1.9512409564263045,2.094480881453036,0.8
full_seed101_bias_0p0_noise0p25_s13_a0p3_b0p8,101,bias,0.0,0.25,13,0.3,full_fpr_owa,1.4423166327854453,1.5394491390162115,1.4096630712143363,2.215127343217554,2.402718544702593,0.8
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,101,bias,0.0,0.25,5,0.2,reliability_only,1.7290104578112504,1.800354960617562,1.608680453285516,2.527912716513662,2.82624938407154,0.7
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,101,bias,0.0,0.25,5,0.2,fpr_dominance_only,1.7294938191039624,1.8025756515913651,1.616954287375434,2.5343792787486508,2.772539362137452,0.7
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,101,bias,0.0,0.25,5,0.2,owa_only,1.6793782928468477,1.7449539205896951,1.5255182703776842,2.4230051817228992,2.675460637899026,0.7
full_seed101_bias_0p0_noise0p25_s5_a0p2_b0p7,101,bias,0.0,0.25,5,0.2,full_fpr_owa,1.7336143413815548,1.8099001257236493,1.6922920438569657,2.55417172044426,2.7327033676123493,0.7
full_seed101_bias_0p0_noise0p25_s5_a0p3_b0p8,101,bias,0.0,0.25,5,0.3,reliability_only,1.7290104578112504,1.800354960617562,1.608680453285516,2.527912716513662,2.82624938407154,0.8
full_seed101_bias_0p0_noise0p25_s5_a0p3_b0p8,101,bias,0.0,0.25,5,0.3,fpr_dominance_only,1.7294938191039624,1.8025756515913651,1.616954287375434,2.5343792787486508,2.772539362137452,0.8
full_seed101_bias_0p0_noise0p25_s5_a0p3_b0p8,101,bias,0.0,0.25,5,0.3,owa_only,1.7795389076677386,1.8390529482781404,1.65413834982538,2.509154904728353,2.7485422634561543,0.8
full_seed101_bias_0p0_noise0p25_s5_a0p3_b0p8,101,bias,0.0,0.25,5,0.3,full_fpr_owa,1.7299506229173902,1.809798933912468,1.6661550456250218,2.56977910378971,2.767724316695624,0.8
full_seed101_bias_0p0_noise0p25_s9_a0p2_b0p7,101,bias,0.0,0.25,9,0.2,reliability_only,1.6899798864919555,1.7589781069964905,1.533765847858002,2.460085483284768,2.73548632498562,0.7
full_seed101_bias_0p0_noise0p25_s9_a0p2_b0p7,101,bias,0.0,0.25,9,0.2,fpr_dominance_only,1.6837700813722118,1.7493216558300668,1.5451163628845612,2.4199470981917064,2.6296566240533785,0.7
