file,variant,ticks,mae_c,precision,recall,true_positive_reporter_ticks,false_positive_reporter_ticks,false_negative_reporter_ticks,true_negative_reporter_ticks,false_alarm_transition_ticks,nonconverged_ticks,reporter_exclusions,total_rounds
seed42_04_drift_high_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.08763657286913712,1.0,0.3277777777777778,59,0,121,1980,0,0,69,264
seed42_05_replay_low_fpr_crp.ticks.csv,temporal_only,240,0.08497694670777425,,0.0,0,0,180,1980,0,0,0,240
seed42_05_replay_low_fpr_crp.ticks.csv,social_only,240,0.08497694670777425,,0.0,0,0,180,1980,0,0,0,240
seed42_05_replay_low_fpr_crp.ticks.csv,published_blend,240,0.08497694670777425,,0.0,0,0,180,1980,0,0,0,240
seed42_05_replay_low_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.08497694670777425,,0.0,0,0,180,1980,0,0,0,240
seed42_06_replay_high_fpr_crp.ticks.csv,temporal_only,240,0.08438310054586894,,0.0,0,0,180,1980,0,0,0,240
seed42_06_replay_high_fpr_crp.ticks.csv,social_only,240,0.08438310054586894,,0.0,0,0,180,1980,0,0,0,240
seed42_06_replay_high_fpr_crp.ticks.csv,published_blend,240,0.08438310054586894,,0.0,0,0,180,1980,0,0,0,240
seed42_06_replay_high_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.08438310054586894,,0.0,0,0,180,1980,0,0,0,240
seed42_07_freeze_low_fpr_crp.ticks.csv,temporal_only,240,0.07868795393482392,,0.0,0,0,60,2100,0,0,0,240
seed42_07_freeze_low_fpr_crp.ticks.csv,social_only,240,0.07868795393482392,,0.0,0,0,60,2100,0,0,0,240
seed42_07_freeze_low_fpr_crp.ticks.csv,published_blend,240,0.07868795393482392,,0.0,0,0,60,2100,0,0,0,240
seed42_07_freeze_low_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.07868795393482392,,0.0,0,0,60,2100,0,0,0,240
seed42_08_freeze_high_fpr_crp.ticks.csv,temporal_only,240,0.08758855372691698,,0.0,0,0,180,1980,0,0,0,240
seed42_08_freeze_high_fpr_crp.ticks.csv,social_only,240,0.08758855372691698,,0.0,0,0,180,1980,0,0,0,240
seed42_08_freeze_high_fpr_crp.ticks.csv,published_blend,240,0.08758855372691698,,0.0,0,0,180,1980,0,0,0,240
seed42_08_freeze_high_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.08758855372691698,,0.0,0,0,180,1980,0,0,0,240
seed42_09_spike_low_fpr_crp.ticks.csv,temporal_only,240,0.07731855811189492,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed42_09_spike_low_fpr_crp.ticks.csv,social_only,240,0.0773511820800523,1.0,0.9666666666666667,174,0,6,1980,0,0,178,300
seed42_09_spike_low_fpr_crp.ticks.csv,published_blend,240,0.07731855811189492,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed42_09_spike_low_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.07731855811189492,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed42_10_spike_high_fpr_crp.ticks.csv,temporal_only,240,0.0864997606953667,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed42_10_spike_high_fpr_crp.ticks.csv,social_only,240,0.0864997606953667,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed42_10_spike_high_fpr_crp.ticks.csv,published_blend,240,0.0864997606953667,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
seed42_10_spike_high_fpr_crp.ticks.csv,social_dynamic_innovation,240,0.0864997606953667,1.0,0.9666666666666667,174,0,6,1980,0,0,180,300
